timekey,date,daynameweek,daynbmonth,monthnumber,monthname,quarter,semester,year
327,2016-06-27,Monday   ,27,6,June     ,2,1,2016
328,2016-06-28,Tuesday  ,28,6,June     ,2,1,2016
329,2016-06-30,Thursday ,30,6,June     ,2,1,2016
330,2016-07-04,Monday   ,4,7,July     ,3,2,2016
331,2016-07-05,Tuesday  ,5,7,July     ,3,2,2016
332,2016-01-01,Friday   ,1,1,January  ,1,1,2016
333,2016-01-28,Thursday ,28,1,January  ,1,1,2016
334,2016-06-29,Wednesday,29,6,June     ,2,1,2016
335,2016-07-06,Wednesday,6,7,July     ,3,2,2016
336,2016-07-11,Monday   ,11,7,July     ,3,2,2016
337,2016-07-12,Tuesday  ,12,7,July     ,3,2,2016
338,2016-07-13,Wednesday,13,7,July     ,3,2,2016
339,2016-07-14,Thursday ,14,7,July     ,3,2,2016
340,2016-07-15,Friday   ,15,7,July     ,3,2,2016
341,2016-02-14,Sunday   ,14,2,February ,1,1,2016
342,2016-05-14,Saturday ,14,5,May      ,2,1,2016
343,2016-05-08,Sunday   ,8,5,May      ,2,1,2016
344,2015-11-07,Saturday ,7,11,November ,4,2,2015
345,2015-11-15,Sunday   ,15,11,November ,4,2,2015
346,2015-11-22,Sunday   ,22,11,November ,4,2,2015
347,2015-12-07,Monday   ,7,12,December ,4,2,2015
348,2014-11-26,Wednesday,26,11,November ,4,2,2014
349,2015-11-14,Saturday ,14,11,November ,4,2,2015
350,2015-11-27,Friday   ,27,11,November ,4,2,2015
351,2016-07-18,Monday   ,18,7,July     ,3,2,2016
352,2016-07-19,Tuesday  ,19,7,July     ,3,2,2016
353,2016-07-20,Wednesday,20,7,July     ,3,2,2016
354,2016-07-21,Thursday ,21,7,July     ,3,2,2016
355,2015-09-12,Saturday ,12,9,September,3,2,2015
356,2015-10-12,Monday   ,12,10,October  ,4,2,2015
357,2015-12-12,Saturday ,12,12,December ,4,2,2015
358,2016-03-12,Saturday ,12,3,March    ,1,1,2016
359,2016-06-12,Sunday   ,12,6,June     ,2,1,2016
